,tag,cohen_h,level
18610,2D,0.20190376062548854,0
14951,Indie,0.18193841340274397,0
1531,Precision Platformer,0.17090904604844548,0
18336,Casual,0.16728491437689263,0
27037,Score Attack,0.1659412257785532,0
42618,Platformer,0.16014380638968628,0
20880,Arcade,0.14022182363185565,0
36628,Family Friendly,0.11602909111570625,0
52431,Runner,0.11115004297499315,0
52844,Tutorial,0.10821742088528097,0
42619,Puzzle Platformer,0.10592472999605829,0
23673,Bullet Hell,0.10343634572639016,0
59189,2D Platformer,0.0980704145106649,0
61929,Minimalist,0.09666757506199175,0
52838,3D Platformer,0.0928815018127207,0
18337,Colorful,0.0854546160979468,0
61923,Cartoony,0.08519438366930587,0
50086,Logic,0.08425970021274842,0
40398,Parkour,0.08309072339215623,0
18341,Puzzle,0.07961481548339244,0
27144,Walking Simulator,0.10198298847246479,1
81895,Psychological,0.09006272653468023,1
119298,Thriller,0.08549685346013969,1
38629,Card Game,0.08474590458014675,1
8156,Indie,0.08038502623667432,1
14547,2D,0.0744013020098322,1
97202,Gambling,0.07221957090031167,1
101715,Fighting,0.06876136927949539,1
40186,Pinball,0.06705277655157155,1
36931,Turn-Based Tactics,0.06667009381995848,1
65065,Mystery,0.06657912094410146,1
36648,Party,0.0663135298920409,1
17736,Linear,0.06604643117944287,1
189947,Noir,0.06328305104238396,1
192095,Trading Card Game,0.0613910663073636,1
44944,Beat 'em up,0.060925546331687785,1
27194,Deckbuilding,0.05760232609390514,1
30081,Psychological Horror,0.05654377146196532,1
62183,Detective,0.05650935381209937,1
8153,Arcade,0.055612784498396906,1
143448,VR,0.10603454167614257,2
18258,Simulation,0.10266337511673451,2
26720,First-Person,0.10242617128739617,2
192659,Word Game,0.0975508178347197,2
42568,Realistic,0.09266176723766939,2
136836,Otome,0.09006526270460571,2
26384,RPG,0.08891091255714523,2
29394,Strategy RPG,0.08755026143706779,2
116717,Interactive Fiction,0.08355065801366479,2
52877,Romance,0.08220760317941056,2
87241,Drama,0.08192722902304872,2
165158,Driving,0.08039812067896163,2
7886,FPS,0.07752838982559751,2
7917,Cute,0.07690101761629897,2
1479,Immersive Sim,0.07451540377677934,2
52876,Female Protagonist,0.073328072796215,2
14946,Procedural Generation,0.07258905286536232,2
1143,Cozy,0.06993419710079118,2
36697,Turn-Based Combat,0.06797645410100772,2
42428,Visual Novel,0.0664156332390915,2
47427,Building,0.23631736432593242,3
7694,Open World,0.2245524932671219,3
4460,Sandbox,0.20303373636897948,3
1044,Crafting,0.20054285121885462,3
572,RPG,0.188005036609177,3
7385,Open World Survival Craft,0.18612206978135476,3
7901,Exploration,0.18081975297082264,3
4459,Base Building,0.1774841204502554,3
4612,Survival,0.17715553364452463,3
4554,Online Co-Op,0.16306698142762655,3
605,Story Rich,0.15991009928208533,3
21306,Management,0.15381112619040216,3
1146,Simulation,0.1529613297759025,3
7981,Life Sim,0.15208263835835412,3
34942,Resource Management,0.1409992324096324,3
10929,Souls-like,0.13996481826550117,3
30028,Farming Sim,0.13617301054704617,3
7688,Adventure,0.13406575314247515,3
21283,Immersive Sim,0.13346993398817752,3
17918,Co-op,0.132887198698874,3
