appid,year,id,name
1599340,2022,1,Lost Ark
1361210,2022,2,"Warhammer 40,000: Darktide"
1962660,2022,3,Call of Duty®: Modern Warfare® II
1449850,2022,4,Yu-Gi-Oh! Master Duel
1142710,2022,5,Total War: WARHAMMER III
1593500,2022,6,God of War
1332010,2022,7,Stray
920210,2022,8,LEGO® Star Wars™: The Skywalker Saga
1446780,2022,9,MONSTER HUNTER RISE
1245620,2022,10,ELDEN RING
534380,2022,11,Dying Light 2 Stay Human: Reloaded Edition
1817070,2022,12,Marvel’s Spider-Man Remastered
1846380,2022,13,Need for Speed™ Unbound
1462040,2022,14,FINAL FANTASY VII REMAKE INTERGRADE
975370,2022,15,Dwarf Fortress
1687950,2022,16,Persona 5 Royal
1313140,2022,17,Cult of the Lamb
1880360,2022,18,
1286680,2022,19,Tiny Tina's Wonderlands
1496790,2022,20,Gotham Knights
1583230,2022,21,High On Life
1544020,2022,22,The Callisto Protocol™
648800,2022,23,Raft
529340,2022,24,Victoria 3
1253920,2022,25,Rogue Legacy 2
1237320,2022,26,Sonic Frontiers
1818750,2022,27,MultiVersus
1607890,2022,28,
1044720,2022,29,Farthest Frontier
1981790,2022,30,
1608070,2022,31,CRISIS CORE –FINAL FANTASY VII– REUNION
824550,2022,32,SD GUNDAM BATTLE ALLIANCE
368260,2022,33,Marvel's Midnight Suns
1656330,2022,34,
261550,2022,35,Mount & Blade II: Bannerlord
1577120,2022,36,The Quarry
1659420,2022,37,UNCHARTED™: Legacy of Thieves Collection
1703340,2022,38,The Stanley Parable: Ultra Deluxe
1824220,2022,39,Chivalry 2
1824060,2022,40,
1817190,2022,41,Marvel’s Spider-Man: Miles Morales
1611910,2022,42,"Warhammer 40,000: Chaos Gate - Daemonhunters"
2208920,2022,43,Assassin's Creed Valhalla
1361510,2022,44,Teenage Mutant Ninja Turtles: Shredder's Revenge
1029690,2022,45,Sniper Elite 5
1657630,2022,46,Slime Rancher 2
1475810,2022,47,Ghostwire: Tokyo
962130,2022,48,Grounded
1216060,2022,49,DNF Duel
1826140,2022,50,
2127791,2022,51,
1336980,2022,52,NOBUNAGA'S AMBITION: Awakening
698670,2022,53,Scorn
1210320,2022,54,Potion Craft: Alchemist Simulator
1290000,2022,55,PowerWash Simulator
1776380,2022,56,STAR OCEAN THE DIVINE FORCE
799600,2022,57,Cosmoteer: Starship Architect & Commander
1385380,2022,58,Across the Obelisk
1403370,2022,59,Zenith: Nexus
1296830,2022,60,暖雪 Warm Snow
871980,2022,61,Digimon Survive
1588010,2022,62,PGA TOUR 2K23
1637320,2022,63,Dome Keeper
1621310,2022,64,Atelier Sophie 2: The Alchemist of the Mysterious Dream
1167630,2022,65,Teardown
745920,2022,66,Temtem
1061910,2022,67,Metal: Hellsinger
1202130,2022,68,Starship Troopers: Terran Command
1556790,2022,69,Isonzo
1182900,2022,70,A Plague Tale: Requiem
2102730,2022,71,
1372110,2022,72,JoJo's Bizarre Adventure: All-Star Battle R
597180,2022,73,Old World
1176470,2022,74,Terra Invicta
1659040,2022,75,HITMAN World of Assassination
1785250,2022,76,
2127790,2022,77,
1789480,2022,78,Marauders
1288320,2022,79,Way of the Hunter
1766740,2022,80,Choo-Choo Charles
2060130,2022,81,Return to Monkey Island
1880650,2022,82,
1113120,2022,83,IXION
1065310,2022,84,Evil West
1121640,2022,85,The Wandering Village
1777620,2022,86,Soul Hackers 2
1649080,2022,87,Two Point Campus
987840,2022,88,Expeditions: Rome
1592190,2022,89,BONELAB
1341290,2022,90,We Were Here Forever
1761390,2022,91,Hatsune Miku: Project DIVA Mega Mix+
1303182,2022,92,
2066020,2022,93,Soulstone Survivors
1451940,2022,94,NEEDY STREAMER OVERLOAD
1889490,2022,95,
1549250,2022,96,UNDECEMBER: 4th Anniversary
1451090,2022,97,Tactics Ogre: Reborn
1273400,2022,98,Construction Simulator
2058190,2022,99,Lost Judgment
2138330,2023,1,
1716740,2023,2,Starfield
2519060,2023,3,Call of Duty®: Modern Warfare® III
1888160,2023,4,ARMORED CORE™ VI FIRES OF RUBICON™
1086940,2023,5,Baldur's Gate 3
2050650,2023,6,Resident Evil 4
1364780,2023,7,Street Fighter™ 6
990080,2023,8,Hogwarts Legacy
1774580,2023,9,STAR WARS Jedi: Survivor™
1282100,2023,10,REMNANT II®
949230,2023,11,Cities: Skylines II
2195250,2023,12,EA SPORTS FC™ 24
2252570,2023,13,Football Manager 2024
1669000,2023,14,Age of Wonders 4
1260320,2023,15,Party Animals
2073850,2023,16,THE FINALS
1448440,2023,17,Wo Long: Fallen Dynasty
2399830,2023,18,ARK: Survival Ascended
1272080,2023,19,PAYDAY 3
1693980,2023,20,Dead Space
1971870,2023,21,Mortal Kombat 1
1868140,2023,22,DAVE THE DIVER
671860,2023,23,BattleBit Remastered
668580,2023,24,Atomic Heart
1562430,2023,25,DREDGE
1548850,2023,26,Six Days in Fallujah
2186680,2023,27,"Warhammer 40,000: Rogue Trader"
1817230,2023,28,Hi-Fi RUSH
1501750,2023,29,Lords of the Fallen
2369390,2023,30,Far Cry® 6
1888930,2023,31,The Last of Us™ Part I
