appid,cluster,year,weight
261550,1,2022,2
368260,6,2022,2
482400,3,2022,1
529340,6,2022,4
534380,3,2022,8
597180,6,2022,1
648800,1,2022,4
668580,3,2022,4
671860,3,2022,4
698670,3,2022,1
745920,1,2022,1
756800,3,2022,1
799600,0,2022,1
814000,4,2022,1
824550,0,2022,2
871980,4,2022,1
920210,0,2022,8
949230,2,2022,8
954850,2,2022,2
962130,1,2022,2
975370,2,2022,4
987840,6,2022,1
990080,1,2022,8
1029690,3,2022,2
1044720,2,2022,2
1061910,0,2022,1
1065310,3,2022,1
1084160,6,2022,1
1084600,2,2022,1
1086940,4,2022,8
1113120,2,2022,1
1121640,2,2022,1
1128920,0,2022,1
1142710,6,2022,8
1144200,3,2022,2
1150440,0,2022,1
1167630,3,2022,1
1176470,6,2022,1
1182900,4,2022,1
1190970,2,2022,2
1202130,6,2022,1
1210320,2,2022,1
1216060,5,2022,2
1237320,0,2022,2
1244090,4,2022,1
1245620,1,2022,8
1253920,0,2022,2
1260320,5,2022,4
1272080,3,2022,4
1273400,2,2022,1
1282100,1,2022,8
1286320,3,2022,1
1286680,1,2022,4
1288320,3,2022,1
1290000,2,2022,1
1296830,0,2022,1
1313140,0,2022,4
1324130,2,2022,1
1331550,2,2022,1
1332010,0,2022,8
1336490,2,2022,1
1336980,6,2022,1
1337520,0,2022,2
1341290,3,2022,1
1353230,0,2022,1
1361210,3,2022,8
1361510,0,2022,2
1364780,5,2022,8
1372110,5,2022,1
1385380,6,2022,1
1401590,2,2022,1
1403370,1,2022,1
1432860,2,2022,1
1433140,3,2022,2
1446780,1,2022,8
1448440,1,2022,4
1449850,6,2022,8
1451090,6,2022,1
1451940,4,2022,1
1462040,1,2022,4
1469610,6,2022,1
1475810,3,2022,2
1485590,0,2022,1
1496790,1,2022,4
1501750,1,2022,2
1527950,1,2022,2
1544020,3,2022,4
1548850,3,2022,2
1549250,1,2022,1
1556790,3,2022,1
1562430,1,2022,2
1577120,4,2022,2
1583230,3,2022,4
1588010,5,2022,1
1592190,3,2022,1
1593500,1,2022,8
1599340,1,2022,8
1608070,1,2022,2
1611910,6,2022,2
1621310,4,2022,1
1627720,0,2022,2
1637320,0,2022,1
1649080,2,2022,1
1649240,0,2022,1
1657630,2,2022,2
1659040,3,2022,1
1659420,0,2022,2
1669000,6,2022,4
1676840,6,2022,2
1677280,6,2022,2
1680880,1,2022,1
1681430,3,2022,1
1687950,4,2022,4
1693980,3,2022,4
1703340,4,2022,2
1716740,0,2022,8
1761390,0,2022,1
1766740,3,2022,1
1774580,0,2022,8
1776380,4,2022,1
1777620,4,2022,1
1789480,3,2022,1
1798010,0,2022,1
1805480,0,2022,1
1817070,0,2022,8
1817190,0,2022,2
1817230,0,2022,2
1818750,5,2022,2
1824220,3,2022,2
1846380,5,2022,4
1849250,5,2022,1
1868140,2,2022,4
1888160,0,2022,8
1888930,3,2022,2
1895880,0,2022,1
1902690,4,2022,1
1929610,3,2022,1
1937780,6,2022,1
1938010,1,2022,2
1940340,6,2022,2
1962660,3,2022,8
1971650,4,2022,2
1971870,5,2022,4
1997040,6,2022,1
1999770,4,2022,1
2005010,3,2022,1
2050650,3,2022,8
2058190,3,2022,1
2060130,4,2022,1
2066020,0,2022,1
2073850,3,2022,4
2080690,1,2022,1
2131680,0,2022,1
2140020,2,2022,1
2140330,5,2022,1
2155180,2,2022,1
2157560,5,2022,2
2186680,6,2022,2
2195250,5,2022,8
2208920,1,2022,2
2221490,1,2022,1
2230110,2,2022,1
2231380,3,2022,1
2238900,0,2022,1
2252570,5,2022,4
2254740,6,2022,1
2287520,3,2022,1
2322560,4,2022,2
2338770,5,2022,2
2344520,1,2022,2
2362300,2,2022,1
2369390,1,2022,2
2375550,0,2022,1
2399830,1,2022,4
2440510,5,2022,2
2519060,3,2022,8
251570,0,2023,1
261550,0,2023,2
315210,5,2023,1
368260,4,2023,2
427410,0,2023,1
482400,5,2023,1
526870,1,2023,2
529340,4,2023,4
534380,5,2023,8
553850,5,2023,8
597180,4,2023,1
648800,0,2023,4
668580,5,2023,4
671860,5,2023,4
698670,5,2023,1
745920,0,2023,1
756800,5,2023,1
799600,6,2023,1
813230,6,2023,1
814000,2,2023,1
824550,0,2023,2
871980,2,2023,1
881020,0,2023,4
899770,0,2023,4
920210,0,2023,8
934700,5,2023,1
949230,1,2023,8
954850,1,2023,2
962130,0,2023,2
975370,1,2023,4
987840,4,2023,1
990080,0,2023,8
1029690,5,2023,2
1040200,5,2023,1
1044720,1,2023,2
1061910,6,2023,1
1065310,0,2023,1
1084160,4,2023,1
1084600,1,2023,1
1086940,2,2023,8
1113120,1,2023,1
1121640,1,2023,1
1128920,0,2023,1
1142710,4,2023,8
1144200,5,2023,2
1145350,6,2023,4
1150440,6,2023,1
1167630,5,2023,1
1176470,4,2023,1
1182900,2,2023,1
1190970,1,2023,2
1202130,4,2023,1
1203620,0,2023,4
1210320,1,2023,1
1216060,3,2023,2
1237320,0,2023,2
1244090,2,2023,1
1245620,0,2023,8
1253920,6,2023,2
1260320,3,2023,4
1272080,5,2023,4
1273400,1,2023,1
1282100,0,2023,8
1284190,1,2023,1
1286320,5,2023,1
1286680,0,2023,4
1288320,5,2023,1
1290000,1,2023,1
1296830,6,2023,1
1304930,5,2023,1
1313140,6,2023,4
1324130,1,2023,1
1326470,0,2023,2
1331550,1,2023,1
1332010,6,2023,8
1336490,4,2023,1
1336980,4,2023,1
1337520,6,2023,2
1341290,5,2023,1
1353230,6,2023,1
1361210,5,2023,8
1361510,6,2023,2
1363080,4,2023,8
1364780,3,2023,8
1371980,0,2023,2
1372110,3,2023,1
1385380,4,2023,1
1401590,1,2023,1
1403370,0,2023,1
1432860,1,2023,1
1433140,5,2023,2
1446780,0,2023,8
1448440,0,2023,4
1449850,4,2023,8
1451090,4,2023,1
1451940,2,2023,1
1458140,5,2023,1
1462040,0,2023,4
1465460,1,2023,1
1469610,4,2023,1
1475810,5,2023,2
1485590,6,2023,1
1492070,5,2023,1
1496790,0,2023,4
1501750,0,2023,2
1527950,0,2023,2
1544020,5,2023,4
1548850,5,2023,2
1549250,0,2023,1
1556790,4,2023,1
1562430,5,2023,2
1575940,4,2023,1
1577120,5,2023,2
1583230,5,2023,4
1588010,3,2023,1
1592190,5,2023,1
1593500,0,2023,8
1599340,0,2023,8
1601580,1,2023,2
1604030,0,2023,2
1608070,0,2023,2
1611910,4,2023,2
1621310,2,2023,1
1621690,0,2023,1
1623730,0,2023,8
1627720,0,2023,2
1637320,6,2023,1
1643320,5,2023,8
1649080,1,2023,1
1649240,6,2023,1
1657630,1,2023,2
1659040,5,2023,1
1659420,5,2023,2
1669000,4,2023,4
1672500,0,2023,1
1676840,4,2023,2
1677280,4,2023,2
1680880,0,2023,1
1681430,5,2023,1
1687950,2,2023,4
1693980,5,2023,4
1703340,2,2023,2
1716740,5,2023,8
1761390,6,2023,1
