appid,cluster,year,weight
440,4,2019,2
570,2,2019,7
730,4,2019,7
39210,1,2019,4
49520,4,2019,2
105600,0,2019,1
107410,4,2019,2
203770,3,2019,1
219990,1,2019,1
227300,0,2019,2
230410,4,2019,7
233860,0,2019,1
236390,4,2019,2
236850,3,2019,1
238960,1,2019,4
239140,4,2019,1
242760,0,2019,1
252490,0,2019,2
252950,2,2019,4
255710,0,2019,2
268500,3,2019,1
270880,0,2019,1
271590,4,2019,7
275850,0,2019,1
281990,3,2019,2
289070,3,2019,7
292030,1,2019,4
294100,0,2019,1
306130,1,2019,7
322330,0,2019,1
323190,3,2019,1
346110,0,2019,2
359550,4,2019,7
361420,0,2019,1
364360,3,2019,1
374320,1,2019,1
377160,4,2019,1
379430,1,2019,2
381210,4,2019,4
386360,2,2019,1
394360,3,2019,1
413150,0,2019,1
431960,2,2019,2
435150,1,2019,2
440900,0,2019,1
444090,4,2019,1
460930,4,2019,1
477160,4,2019,1
489830,1,2019,1
492720,3,2019,1
493340,0,2019,1
502500,4,2019,1
508440,0,2019,2
518790,0,2019,1
535930,0,2019,1
548570,4,2019,1
552520,4,2019,1
552990,4,2019,1
578080,4,2019,7
581320,4,2019,2
582010,1,2019,7
582660,4,2019,2
594570,3,2019,4
594650,4,2019,1
601150,1,2019,4
601510,2,2019,1
606880,1,2019,1
613100,0,2019,1
617290,4,2019,2
620980,2,2019,1
629760,4,2019,4
632360,4,2019,2
648350,0,2019,2
648800,0,2019,2
678960,1,2019,2
692850,1,2019,1
703080,0,2019,2
728880,2,2019,2
750920,1,2019,2
779340,3,2019,7
787860,0,2019,1
794260,4,2019,2
812140,1,2019,4
813780,3,2019,1
814380,1,2019,7
816020,2,2019,1
841370,2,2019,1
848450,0,2019,1
859580,3,2019,2
863550,4,2019,1
883710,4,2019,4
939960,4,2019,1
976310,2,2019,1
976730,4,2019,4
1085660,4,2019,7
1089350,2,2019,1
1091500,1,2019,1
1097840,4,2019,1
1172380,1,2019,4
1174180,4,2019,2
440,6,2020,2
570,6,2020,7
730,6,2020,7
39210,2,2020,2
105600,1,2020,1
107410,0,2020,1
221100,4,2020,1
227300,3,2020,2
230410,0,2020,4
236390,0,2020,2
236850,5,2020,2
238960,1,2020,2
239140,4,2020,1
242760,1,2020,1
252490,1,2020,2
255710,3,2020,2
261550,1,2020,4
270880,3,2020,1
271590,0,2020,7
275850,1,2020,1
281990,0,2020,2
286160,6,2020,1
289070,5,2020,4
292030,2,2020,2
294100,3,2020,1
306130,2,2020,4
311210,0,2020,1
322330,1,2020,1
346110,1,2020,4
359550,6,2020,7
374320,7,2020,2
377160,0,2020,1
